Date,Prev Close,Open,High,Low,Close,Volume,,,,,
1/10/2002,67.7,68.4,70.3,66.25,67.8,23313,,,,,
1/11/2002,67.8,69.35,79,69.35,72.15,105177,,,,,
1/14/2002,72.15,74.9,86.5,74.9,80.55,68848,,,,,
1/15/2002,80.55,81.5,82.9,76.2,77.05,37778,,,,,
1/16/2002,77.05,78.95,78.95,75,75.05,20080,,,,,
1/17/2002,75.05,75.6,76.5,73,75.15,24092,,,,,
1/18/2002,75.15,70.2,76.5,70.2,75.05,22120,,,,,
1/21/2002,75.05,75,80,75,77.6,21010,,,,,
1/22/2002,77.6,77.5,82,77,78.55,30632,,,,,
1/23/2002,78.55,78,79,75,76,37286,,,,,
1/24/2002,76,76.95,77,73,73.55,28206,,,,,
1/25/2002,73.55,72.35,72.5,68,69.4,36252,,,,,
1/28/2002,69.4,71.1,71.1,67.6,68.5,12505,,,,,
1/29/2002,68.5,69.9,70,67.05,67.35,10861,,,,,
1/30/2002,67.35,67,67.2,62.1,63.95,25311,,,,,
1/31/2002,63.95,70,76.75,70,76.75,30325,,,,,
2/1/2002,76.75,92.1,92.1,79,81.85,181201,,,,,
2/4/2002,81.85,80,83.5,75.5,78.4,74435,,,,,
2/5/2002,78.4,76.9,81.6,74.95,78.05,59764,,,,,
2/6/2002,78.05,82.9,82.9,77.5,78.35,36510,,,,,
2/7/2002,78.35,79.8,79.8,75,75.75,23218,,,,,
2/8/2002,75.75,77.5,79.3,76,77.65,35798,,,,,
2/11/2002,77.65,77.7,83,76,81.95,51672,,,,,
2/12/2002,81.95,81.05,84.95,81.05,81.8,54797,,,,,
2/13/2002,81.8,82,84.7,80,82.1,38935,,,,,
2/14/2002,82.1,84,97,82.45,95.25,216380,,,,,
2/15/2002,95.25,99.9,113.7,96.2,102.3,229827,,,,,
2/18/2002,102.3,105,109.1,101,102,151930,,,,,
2/19/2002,102,105,106,94,95.3,87166,,,,,
2/20/2002,95.3,90.2,99.3,90.2,95.7,47765,,,,,
2/21/2002,95.7,106,114.85,101.1,114.85,291667,,,,,
2/22/2002,114.85,114.9,124.7,113,116.1,549094,,,,,
2/25/2002,116.1,116,118.45,107.5,108.6,124402,,,,,
2/26/2002,108.6,112,123.5,110,116.25,432104,,,,,
2/27/2002,116.25,117.85,117.85,108,110.9,228415,,,,,
2/28/2002,110.9,113.5,119,105.6,108.5,355164,,,,,
3/1/2002,108.5,101,125,101,122.65,308513,,,,,
3/4/2002,122.65,127,147.2,124,147.2,647280,,,,,
3/5/2002,147.2,155,174.85,147.25,164.35,1283374,,,,,
3/6/2002,164.35,162,176.9,156.15,161.5,1538453,,,,,
3/7/2002,161.5,164,169,147.6,150.85,649304,,,,,
3/8/2002,150.85,156.8,158.45,146.95,149.9,502264,,,,,
3/11/2002,149.9,153.7,153.7,141.05,143.05,268402,,,,,
3/12/2002,143.05,146.85,148.9,137.05,139.65,576437,,,,,
3/13/2002,139.65,137,147.65,137,145.5,344850,,,,,
3/14/2002,145.5,144.85,156.65,144.85,149.25,587571,,,,,
3/15/2002,149.25,150,153.9,146.05,150.25,339354,,,,,
3/18/2002,150.25,152.6,153.9,142.5,143.45,124696,,,,,
3/19/2002,143.45,145,145.75,139,140,109573,,,,,
3/20/2002,140,144,144,132.25,134.9,119705,,,,,
3/21/2002,134.9,135.1,139,132.3,133.1,83299,,,,,
3/22/2002,133.1,134.8,139.2,132.5,133.95,127947,,,,,
3/26/2002,133.95,132.1,134,128.05,128.75,50948,,,,,
3/27/2002,128.75,129,131.95,129,130.5,61626,,,,,
3/28/2002,130.5,145,146.85,131.55,141.75,282971,,,,,
4/1/2002,141.75,145,151.8,145,147.2,217590,,,,,
4/2/2002,147.2,147.9,159.95,147,155.5,446612,,,,,
4/3/2002,155.5,154.95,170,153.05,166.35,460083,,,,,
4/4/2002,166.35,171,174.4,165.25,171.35,315717,,,,,
4/5/2002,171.35,170.9,175,160,160.7,143317,,,,,
4/8/2002,160.7,158,163.1,150.6,160.75,277595,,,,,
4/9/2002,160.75,160.55,165,159,160.1,150400,,,,,
4/10/2002,160.1,158,165,158,162.45,200946,,,,,
4/11/2002,162.45,160,168,159.75,165.5,179505,,,,,
4/12/2002,165.5,166,186,166,183.15,633358,,,,,
4/15/2002,183.15,181,189,174.9,175.25,345496,,,,,
4/16/2002,175.25,172.5,204.9,172.5,200.7,758590,,,,,
4/17/2002,200.7,202,207.65,186.15,188.4,516279,,,,,
4/18/2002,188.4,189.4,195.4,180.6,182.85,314517,,,,,
4/19/2002,182.85,185,187,172,176.4,266723,,,,,
4/22/2002,176.4,178.5,183,174.9,175.75,156323,,,,,
4/23/2002,175.75,177.7,182,173,175.95,202128,,,,,
4/24/2002,175.95,177.5,190.8,177.05,187.8,260037,,,,,
4/25/2002,187.8,191,192.75,184.5,184.9,179226,,,,,
4/26/2002,184.9,187.9,191.95,178,180.15,102395,,,,,
4/29/2002,180.15,179.7,184.95,175.05,183,101321,,,,,
4/30/2002,183,183.6,186.9,179.05,180.8,65866,,,,,
5/2/2002,180.8,185,185,175.05,175.95,87856,,,,,
5/3/2002,175.95,180,180,171,171.95,80555,,,,,
5/6/2002,171.95,169.5,173.5,165.5,166.35,77099,,,,,
5/7/2002,166.35,167,174,166.35,167,97595,,,,,
5/8/2002,167,170,170.75,165.55,166.45,74176,,,,,
5/9/2002,166.45,178.9,178.9,167,168.4,129714,,,,,
5/10/2002,168.4,169,169.85,162,162.8,79267,,,,,
5/13/2002,162.8,168,168,157.3,158.35,86914,,,,,
5/14/2002,158.35,162,162,150.1,150.95,109029,,,,,
5/15/2002,150.95,154,163.75,153,155.8,273566,,,,,
5/16/2002,155.8,158.75,161,151.8,152.45,90725,,,,,
5/17/2002,152.45,154,154,141,144.3,84515,,,,,
5/20/2002,144.3,142,145,125,128,78541,,,,,
5/21/2002,128,122,134.9,110,126.65,249748,,,,,
5/22/2002,126.65,115.8,133.5,115.8,129.3,126247,,,,,
5/23/2002,129.3,131,133.5,125,127.7,60864,,,,,
5/24/2002,127.7,130.05,144,130.05,141.8,159397,,,,,
5/27/2002,141.8,138.05,145.9,137.5,138.7,84388,,,,,
5/28/2002,138.7,140,147,133.3,136.2,125267,,,,,
5/29/2002,136.2,139.25,142.5,133.35,136.05,70241,,,,,
5/30/2002,136.05,137,140.95,133.25,134.35,72917,,,,,
5/31/2002,134.35,138.75,138.95,130.5,136.55,57368,,,,,
6/3/2002,136.55,139,140.7,133.25,134.2,33059,,,,,
6/4/2002,134.2,134,135.95,132,132.55,27358,,,,,
6/5/2002,132.55,134.9,139,133.95,136.6,45909,,,,,
6/6/2002,136.6,139,142.5,134.1,139.3,67985,,,,,
6/7/2002,139.3,138,138,130.65,132.95,31055,,,,,
6/10/2002,132.95,136,146,134,143.75,113904,,,,,
6/11/2002,143.75,145,153.65,144.1,145.65,83510,,,,,
6/12/2002,145.65,144.5,155,144.5,151.85,123185,,,,,
6/13/2002,151.85,140,156,140,146.25,60258,,,,,
6/14/2002,146.25,147.5,153,145.6,151,58536,,,,,
6/17/2002,151,152.5,156,147.15,148.55,42677,,,,,
6/18/2002,148.55,149.6,150.75,145,145.45,26571,,,,,
6/19/2002,145.45,145.5,147.7,140.55,141.4,22509,,,,,
6/20/2002,141.4,137.15,146.6,137.15,142,27679,,,,,
6/21/2002,142,142,145.8,140,141.55,22138,,,,,
